# bright_soliton_newton_state_v1
# A,1.00000000000000000e+00
# b,7.50000000000000000e-01
# Omega,1.79999999999999993e-01
# A_sol,7.50000000000000000e-01
# w_sol,5.00000000000000000e-01
# x_start,2.76149999999999984e+00
# v_start,0.00000000000000000e+00
# L,-1.00000000000000000e+01
# R_excluded,9.95000000000000284e+00
# N,400
# dx,5.00000000000007105e-02
# g,-1.00000000000000000e+00
# point_5_over_dx_squared,1.99999999999994316e+02
# interpolate,False
# exported_mass,2.30752941782598864e+00
# exported_x_cm,2.96712377001946592e+00
# exported_width,6.78845247267727103e-01
x,u_real,u_imag
-3.49999999999999645e-01,1.73727324010032984e-02,1.09578996716039263e-15
-2.99999999999998934e-01,1.88277740871761849e-02,1.18756712935878034e-15
-2.50000000000000000e-01,2.04195185319035431e-02,1.28796685640213446e-15
-1.99999999999999289e-01,2.21609632807136421e-02,1.39780897213969401e-15
-1.49999999999998579e-01,2.40661764554631410e-02,1.51798082729156413e-15
-9.99999999999996447e-02,2.61503499413977269e-02,1.64944065432359666e-15
-4.99999999999989342e-02,2.84298500909819056e-02,1.79322076555190862e-15
0.00000000000000000e+00,3.09222652701261619e-02,1.95043055202634259e-15
5.00000000000007105e-02,3.36464496015349973e-02,2.12225924276050833e-15
1.00000000000001421e-01,3.66225623104125333e-02,2.30997838647405169e-15
1.50000000000000355e-01,3.98721021484756202e-02,2.51494402294454310e-15
2.00000000000001066e-01,4.34179364602887419e-02,2.73859851635919259e-15
2.50000000000000000e-01,4.72843245567548254e-02,2.98247202957131381e-15
3.00000000000000711e-01,5.14969351678048887e-02,3.24818362493374554e-15
3.50000000000001421e-01,5.60828578518622820e-02,3.53744198392020974e-15
4.00000000000000355e-01,6.10706083339186204e-02,3.85204574385984427e-15
4.50000000000001066e-01,6.64901278161641324e-02,4.19388345447163161e-15
5.00000000000000000e-01,7.23727763431976784e-02,4.56493315939624691e-15
5.50000000000000711e-01,7.87513202953800534e-02,4.96726160729636609e-15
6.00000000000001421e-01,8.56599140160395900e-02,5.40302309298804203e-15
6.50000000000000355e-01,9.31340754381123903e-02,5.87445792003143136e-15
7.00000000000001066e-01,1.01210655350726764e-01,6.38389046226496520e-15
7.50000000000000000e-01,1.09927799623918382e-01,6.93372678112788625e-15
8.00000000000000711e-01,1.19324903278255415e-01,7.52645172859086757e-15
8.50000000000001421e-01,1.29442554734322673e-01,8.16462543066521045e-15
9.00000000000000355e-01,1.40322467893949060e-01,8.85087900341268421e-15
9.50000000000001066e-01,1.52007398880498884e-01,9.58790930131231839e-15
1.00000000000000000e+00,1.64541043289939098e-01,1.03784724363412122e-14
1.05000000000000071e+00,1.77967908669236313e-01,1.12253757344732604e-14
1.10000000000000142e+00,1.92333155637145731e-01,1.21314677144075650e-14
1.15000000000000036e+00,2.07682399590684574e-01,1.30996255801097071e-14
1.20000000000000107e+00,2.24061463299200375e-01,1.41327396156143730e-14
1.25000000000000000e+00,2.41516068884834983e-01,1.52336937565698933e-14
1.30000000000000071e+00,2.60091455742142208e-01,1.64053414904466410e-14
1.35000000000000142e+00,2.79831908895375070e-01,1.76504761075313895e-14
1.40000000000000036e+00,3.00780180186820789e-01,1.89717941922885429e-14
1.45000000000000107e+00,3.22976782621911152e-01,2.03718511139197919e-14
1.50000000000000000e+00,3.46459136296649206e-01,2.18530071555034623e-14
1.55000000000000071e+00,3.71260542784343783e-01,2.34173628230879907e-14
1.60000000000000142e+00,3.97408963914454960e-01,2.50666818168812338e-14
1.65000000000000036e+00,4.24925580873211028e-01,2.68023001461314964e-14
1.70000000000000107e+00,4.53823110929076345e-01,2.86250199561242828e-14
1.75000000000000000e+00,4.84103862382343264e-01,3.05349868435587805e-14
1.80000000000000071e+00,5.15757514218607604e-01,3.25315498075470006e-14
1.85000000000000142e+00,5.48758616179035985e-01,3.46131035658924187e-14
1.90000000000000036e+00,5.83063818391543420e-01,3.67769138132735716e-14
1.95000000000000107e+00,6.18608858197185696e-01,3.90189271644314590e-14
2.00000000000000000e+00,6.55305356126425598e-01,4.13335690594724448e-14
2.05000000000000071e+00,6.93037503650807407e-01,4.37135348429202606e-14
2.10000000000000142e+00,7.31658762400566043e-01,4.61495815659349766e-14
2.15000000000000036e+00,7.70988737272917835e-01,4.86303307568518397e-14
2.20000000000000107e+00,8.10810432422965577e-01,5.11420953419348882e-14
2.25000000000000000e+00,8.50868146226677502e-01,5.36687468696389226e-14
2.30000000000000071e+00,8.90866303869425114e-01,5.61916418756738988e-14
2.35000000000000142e+00,9.30469557295811156e-01,5.86896281874380253e-14
2.40000000000000036e+00,9.69304493218039021e-01,6.11391526572245000e-14
2.45000000000000107e+00,1.00696327106237793e+00,6.35144906264578314e-14
2.50000000000000000e+00,1.04300945473736939e+00,6.57881137662672176e-14
2.55000000000000071e+00,1.07698619771500281e+00,6.79312063538435508e-14
2.60000000000000142e+00,1.10842678751015233e+00,6.99143303683342699e-14
2.65000000000000036e+00,1.13686735773807168e+00,7.17082273074708080e-14
2.70000000000000107e+00,1.16186134715769906e+00,7.32847301957489405e-14
2.75000000000000000e+00,1.18299504884235329e+00,7.46177443528479447e-14
2.80000000000000071e+00,1.19990338043788580e+00,7.56842421069976528e-14
2.85000000000000142e+00,1.21228485404665243e+00,7.64652070244675746e-14
2.90000000000000036e+00,1.21991466496654022e+00,7.69464594856971437e-14
2.95000000000000107e+00,1.22265487576486009e+00,7.71192990485021697e-14
3.00000000000000000e+00,1.22046085266578075e+00,7.69809104249750877e-14
3.05000000000000071e+00,1.21338340093604558e+00,7.65344981715676806e-14
3.10000000000000142e+00,1.20156641066276904e+00,7.57891381957907978e-14
3.15000000000000036e+00,1.18524021520145917e+00,7.47593588386577723e-14
3.20000000000000107e+00,1.16471122756867729e+00,7.34644871871280083e-14
3.25000000000000000e+00,1.14034870666857846e+00,7.19278143502206980e-14
3.30000000000000071e+00,1.11256968185083172e+00,7.01756445711791425e-14
3.35000000000000142e+00,1.08182311753407112e+00,6.82362964066673316e-14
3.40000000000000036e+00,1.04857433679769052e+00,6.61391202401713439e-14
3.45000000000000107e+00,1.01329056782545246e+00,6.39135866203523150e-14
3.50000000000000000e+00,9.76428263423678278e-01,6.15884864359133286e-14
3.55000000000000071e+00,9.38422607174982382e-01,5.91912690132774158e-14
3.60000000000000142e+00,8.99679391500268766e-01,5.67475298232143409e-14
3.65000000000000036e+00,8.60569256067259869e-01,5.42806470667297380e-14
3.70000000000000107e+00,8.21424122932953527e-01,5.18115568204451664e-14
3.75000000000000000e+00,7.82535561795915213e-01,4.93586499248588348e-14
3.80000000000000071e+00,7.44154761961441591e-01,4.69377702158430571e-14
3.85000000000000142e+00,7.06493769766335933e-01,4.45622925755172400e-14
3.90000000000000036e+00,6.69727661836474697e-01,4.22432600111064279e-14
3.95000000000000107e+00,6.33997356016313462e-01,3.99895609551222572e-14
4.00000000000000000e+00,5.99412804521213038e-01,3.78081306744554256e-14
4.05000000000000071e+00,5.66056360930520586e-01,3.57041636441493169e-14
4.10000000000000142e+00,5.33986159056156096e-01,3.36813266706281644e-14
4.15000000000000036e+00,5.03239384236578990e-01,3.17419652295622392e-14
4.20000000000000107e+00,4.73835354423950583e-01,2.98872978062317550e-14
4.25000000000000000e+00,4.45778358858028467e-01,2.81175949456697880e-14
4.30000000000000071e+00,4.19060226217375376e-01,2.64323412395028303e-14
4.35000000000000142e+00,3.93662612439320825e-01,2.48303796308208250e-14
4.40000000000000036e+00,3.69559011682156491e-01,2.33100382562137358e-14
4.45000000000000107e+00,3.46716503029400602e-01,2.18692406196590104e-14
4.50000000000000000e+00,3.25097251351695649e-01,2.05056002597231344e-14
4.55000000000000071e+00,3.04659784013566637e-01,1.92165012782549745e-14
4.60000000000000142e+00,2.85360066498855258e-01,1.79991661858654594e-14
4.65000000000000036e+00,2.67152400073484342e-01,1.68507125220858807e-14
4.70000000000000107e+00,2.49990163739830490e-01,1.57681996544162194e-14
4.75000000000000000e+00,2.33826421296971565e-01,1.47486670688202447e-14
4.80000000000000071e+00,2.18614412554935772e-01,1.37891653532026593e-14
4.85000000000000142e+00,2.04307945839514865e-01,1.28867809547595005e-14
4.90000000000000036e+00,1.90861706993393748e-01,1.20386556703156065e-14
4.95000000000000107e+00,1.78231498213431400e-01,1.12420017110353316e-14
5.00000000000000000e+00,1.66374418315487604e-01,1.04941130726899722e-14
5.05000000000000071e+00,1.55248994416743807e-01,9.79237384160000270e-15
5.10000000000000142e+00,1.44815273584156329e-01,9.13426397532355240e-15
5.15000000000000036e+00,1.35034881718417071e-01,8.51736301679939199e-15
5.20000000000000107e+00,1.25871055820121258e-01,7.93935212952811478e-15
